Station Name: PHOENIX PARK
Station Height: 48 M 
Latitude:53.364  ,Longitude: -6.350


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)
cbl:   -  Mean CBL Pressure (hpa)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,soil
01-jan-2015,0,14.1,0,7.7,0,4.3,0,5.1,1008.3,6.897
02-jan-2015,0,7.7,0,3.2,0,-1.9,0,0.0,1018.2,4.373
03-jan-2015,0,6.8,0,-1.1,0,-0.9,0,9.6,1018.1,3.982
04-jan-2015,0,6.8,0,-2.4,0,-7.1,0,0.0,1024.4,1.931
05-jan-2015,0,12.0,0,1.7,0,-5.6,0,0.0,1014.6,4.214
06-jan-2015,0,10.0,0,3.1,0,-0.4,0,0.8,1009.8,4.712
07-jan-2015,0,12.1,0,6.8,0,-0.3,0,6.7,1005.6,5.647
08-jan-2015,0,10.1,0,3.9,0,-0.5,0,3.6,1009.7,5.120
09-jan-2015,0,15.0,0,7.5,0,2.8,0,2.9,1004.9,6.957
10-jan-2015,0,13.4,0,1.8,0,2.1,0,4.3,1003.5,6.729
11-jan-2015,0,7.8,0,1.8,0,-1.5,0,0.1,1007.8,3.789
12-jan-2015,0,9.9,0,4.7,0,1.0,0,2.8,995.8,5.217
13-jan-2015,0,5.5,0,-0.0,0,-3.0,0,0.0,991.4,2.919
14-jan-2015,0,10.7,0,-0.2,0,-4.1,0,6.2,979.5,2.399
15-jan-2015,0,6.3,0,1.8,0,-1.6,0,3.2,977.9,3.316
16-jan-2015,0,3.4,0,0.9,0,-3.0,0,0.8,995.8,2.138
17-jan-2015,0,4.4,0,-0.5,0,-3.6,0,0.0,1004.0,1.413
18-jan-2015,0,5.2,0,-1.6,0,-6.1,0,0.0,1010.9,1.349
19-jan-2015,0,1.7,0,-4.3,0,-10.3,0,0.0,1009.0,0.982
20-jan-2015,0,4.7,0,-0.2,0,-8.8,0,1.7,998.6,1.229
21-jan-2015,0,4.7,0,1.3,0,-0.8,0,0.1,1002.7,2.423
22-jan-2015,0,5.4,0,-0.9,0,-3.2,0,0.0,1013.1,2.359
23-jan-2015,0,10.6,0,1.6,0,-5.7,0,2.3,1011.5,3.245
