Station Name: PHOENIX PARK
Station Height: 48 M 
Latitude:53.364  ,Longitude: -6.350


date:  -  00 to 00 utc
rain:  -  Precipitation Amount (mm)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)
gmin:  -  09utc Grass Minimum Temperature (C)
soil:  -  Mean 10cm soil temperature (C)
cbl:   -  Mean CBL Pressure (hpa)
ind:   -  Indicator (i)

date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,soil
01-jan-2016,0,8.7,0,-0.9,0,-6.5,0,12.0,999.3,3.997
02-jan-2016,0,10.8,0,5.5,0,2.6,0,3.5,990.6,7.583
03-jan-2016,0,10.1,0,3.3,0,0.5,0,5.4,980.6,6.434
04-jan-2016,0,9.7,0,2.9,0,-1.7,0,0.8,970.8,4.969
05-jan-2016,0,7.1,0,4.6,0,-1.5,0,23.4,980.1,5.880
06-jan-2016,0,8.0,0,3.7,0,-0.9,0,5.3,980.4,5.899
07-jan-2016,0,9.0,0,2.7,0,-0.3,0,0.2,978.6,4.933
08-jan-2016,0,6.8,0,1.6,0,-2.2,0,0.6,986.6,3.075
09-jan-2016,0,6.1,0,0.8,0,-3.3,0,20.2,977.0,3.259
10-jan-2016,0,6.0,0,0.5,0,-0.4,0,1.0,971.9,3.147
11-jan-2016,0,5.2,0,-0.9,0,-6.9,0,0.0,979.9,1.850
12-jan-2016,0,6.4,0,0.4,0,-1.5,0,0.1,998.2,2.304
13-jan-2016,0,5.5,0,-0.2,0,-6.1,0,1.0,1003.4,1.668
14-jan-2016,0,4.8,0,-0.2,0,-5.9,0,0.4,1007.0,1.841
15-jan-2016,0,4.5,0,-0.5,0,-5.4,0,0.1,1019.8,1.217
16-jan-2016,0,6.7,0,-0.5,0,-6.6,0,0.2,1022.3,0.880
17-jan-2016,0,8.9,0,1.6,0,-1.3,0,0.1,1011.9,2.794
18-jan-2016,0,7.6,0,3.6,0,0.3,0,0.4,1005.2,5.264
19-jan-2016,0,8.0,0,0.4,0,-1.2,0,0.0,1009.7,4.587
20-jan-2016,0,6.6,0,-1.4,0,-7.0,0,1.3,1010.0,2.380
21-jan-2016,0,13.1,0,5.5,0,-6.2,0,0.0,1003.3,5.641
22-jan-2016,0,13.2,0,8.0,0,6.9,0,2.1,1003.6,7.522
23-jan-2016,0,13.0,0,7.5,0,0.1,0,0.3,1013.0,5.932
24-jan-2016,0,15.1,0,12.6,0,6.3,0,0.0,1009.1,9.062
25-jan-2016,0,14.5,0,6.4,0,10.5,0,0.4,1003.8,9.310
26-jan-2016,0,13.9,0,8.5,0,0.7,0,11.8,998.0,8.486
27-jan-2016,0,13.3,0,2.4,0,3.4,0,7.8,997.6,8.007
28-jan-2016,0,11.5,0,2.4,0,-2.0,0,2.7,1007.0,5.076
29-jan-2016,0,11.9,0,5.6,0,1.8,0,2.5,1000.4,7.339
30-jan-2016,0,5.6,0,1.8,0,-1.0,0,0.2,1001.3,4.676
31-jan-2016,0,12.2,0,3.5,0,-1.1,0,1.6,997.4,6.115
01-feb-2016,0,12.1,0,5.6,0,8.0,0,1.6,1000.5,8.028
02-feb-2016,0,7.0,0,1.7,0,0.5,0,0.3,1007.2,4.755
03-feb-2016,0,8.1,0,1.6,0,-3.0,0,0.6,1015.7,4.168
04-feb-2016,0,11.4,0,7.0,0,-1.3,0,0.2,1016.3,7.224
05-feb-2016,0,10.6,0,3.0,0,6.0,0,5.0,1004.1,7.303
06-feb-2016,0,11.2,0,3.4,0,-2.6,0,1.4,982.9,5.608
07-feb-2016,0,8.9,0,2.5,0,-1.0,0,3.5,973.5,4.148
08-feb-2016,0,8.1,0,3.6,0,1.5,0,4.7,972.1,5.416
09-feb-2016,0,4.4,0,1.6,0,-0.6,0,3.2,982.2,4.088
10-feb-2016,0,7.6,0,-0.6,0,-2.7,0,0.0,992.5,3.831
11-feb-2016,0,7.9,0,-1.6,0,-6.6,0,0.0,993.2,3.086
12-feb-2016,0,7.2,0,-0.3,0,-4.6,0,1.6,985.8,3.783
13-feb-2016,0,6.8,0,5.1,0,2.4,0,0.9,982.1,5.081
14-feb-2016,0,7.0,0,0.6,0,1.6,0,2.0,999.9,4.175
15-feb-2016,0,6.8,0,-2.3,0,-8.6,0,0.0,1021.8,2.451
16-feb-2016,0,9.4,0,1.2,0,-4.8,0,8.6,1016.6,4.015
17-feb-2016,0,5.9,0,-2.0,0,1.0,0,8.0,1007.1,5.085
18-feb-2016,0,8.1,0,-1.9,0,-8.0,0,0.5,1007.7,2.979
19-feb-2016,0,10.5,0,2.4,0,-3.9,0,0.1,1003.2,4.427
20-feb-2016,0,9.9,0,6.8,0,3.0,0,3.1,999.3,6.032
21-feb-2016,0,12.1,0,5.3,0,6.3,0,4.8,999.4,8.317
22-feb-2016,0,8.5,0,1.7,0,-3.0,0,0.0,1005.7,6.283
23-feb-2016,0,8.4,0,-2.3,0,-6.4,0,0.0,1013.0,4.496
